PMID,Title,Source,PubDate
20017694,Development of a calcium-chelating hydrogel for treatment of superficial burns and scalds.,Regen Med,2010 Jan
19807765,Advanced laser techniques for filler-induced complications.,Dermatol Surg,2009 Oct
19807755,"Host tissue interaction, fate, and risks of degradable and nondegradable gel fillers.",Dermatol Surg,2009 Oct
19903303,Development of a new chitosan hydrogel for wound dressing.,Wound Repair Regen,2009 Nov-Dec
19864695,Acellular bovine-derived matrix used on a traumatic crush injury of the hand: a case study.,Ostomy Wound Manage,2009 Oct 15
19791514,Induction of metalloproteinase 9 secretion from human keratinocytes by pleuran (beta-glucan from Pleurotus ostreatus).,Z Naturforsch C J Biosci,2009 Jul-Aug
19786824,"Acrylamide, acrylic acid and N-isopropylacrylamide hydrogels as osmotic tissue expanders.",Skin Pharmacol Physiol,2009
19775748,"Hydrogel blends of chitin/chitosan, fucoidan and alginate as healing-impaired wound dressings.",Biomaterials,2010 Jan
19701911,Biomimetic PEG hydrogels crosslinked with minimal plasmin-sensitive tri-amino acid peptides.,J Biomed Mater Res A,2010 Jun 1
19660048,A serum amyloid P-binding hydrogel speeds healing of partial thickness wounds in pigs.,Wound Repair Regen,2009 May-Jun
19554098,Wound care in the geriatric client.,Clin Interv Aging,2009
19533306,Composite hydrogel formulations of stratifin to control MMP-1 expression in dermal fibroblasts.,Pharm Res,2009 Aug
19496703,Noninvasive and high-resolution optical monitoring of healing of diabetic dermal excisional wounds implanted with biodegradable in situ gelable hydrogels.,Tissue Eng Part C Methods,2010 Apr
19478568,"Pressure ulcers in pediatric patients with spinal cord injury: a review of assessment, prevention, and topical management.",Adv Skin Wound Care,2009 Jun
19452469,An alginate hydrogel matrix for the localised delivery of a fibroblast/keratinocyte co-culture.,Biotechnol J,2009 May
19438858,Ibuprofen and hydrogel-released ibuprofen in the reduction of inflammation-induced migration in melanoma cells.,Br J Dermatol,2009 Jul
19250163,Revisiting biothermal effects on erythematous hypertrophic scars during pregnancy.,J Cosmet Dermatol,2009 Mar
19248424,The practicing physicians' guide to pressure ulcers in 2008.,Med Health R I,2009 Jan
19247233,Using a novel wound model to investigate the healing properties of products for superficial wounds.,J Wound Care,2009 Mar
19247232,Clinical experience with a glucose oxidase-containing dressing on recalcitrant wounds.,J Wound Care,2009 Mar
19199780,Functional bilayered skin substitute constructed by tissue-engineered extracellular matrix and microsphere-incorporated gelatin hydrogel for wound repair.,Tissue Eng Part A,2009 Sep
19155821,Nursing interventions to reduce the risk of catheter-associated urinary tract infection. Part 1: Catheter selection.,J Wound Ostomy Continence Nurs,2009 Jan-Feb
19117976,"Treatment in an outpatient setting for a patient with an infected, surgical wound with hypergranulation tissue.",Int J Low Extrem Wounds,2009 Mar
23074533,Management of chronic pressure ulcers: an evidence-based analysis.,Ont Health Technol Assess Ser,2009
21718576,Burns (minor thermal).,BMJ Clin Evid,2009 Oct 27
20663482,Engineered tropoelastin and elastin-based biomaterials.,Adv Protein Chem Struct Biol,2009
19108884,Multi-layered culture of human skin fibroblasts and keratinocytes through three-dimensional freeform fabrication.,Biomaterials,2009 Mar
19043221,Preparation of fucoidan-chitosan hydrogel and its application as burn healing accelerator on rabbits.,Biol Pharm Bull,2008 Dec
19043213,Development of clindamycin-loaded wound dressing with polyvinyl alcohol and sodium alginate.,Biol Pharm Bull,2008 Dec
19041705,Wound healing properties of Carica papaya latex: in vivo evaluation in mice burn model.,J Ethnopharmacol,2009 Jan 21
19037138,Acoustic pressure wound therapy in the treatment of stage II pressure ulcers.,Ostomy Wound Manage,2008 Nov
19030138,Occlusive dressings and the healing of standardized abrasions.,J Athl Train,2008 Oct-Dec
18837444,The effect of a self-assembling peptide nanofiber scaffold (peptide) when used as a wound dressing for the treatment of deep second degree burns in rats.,J Biomed Mater Res B Appl Biomater,2009 May
18822733,[Study on treating residual cavity of body surface after abscess drainage by sodium hyaluronate hydrogel].,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,2008 Sep
18678403,In vitro and in vivo suppression of cellular activity by guanidinoethyl disulfide released from hydrogel microspheres composed of partially oxidized hyaluronan and gelatin.,Biomaterials,2008 Nov
18666721,RCT on gentian violet versus a hydrogel dressing for radiotherapy-induced moist skin desquamation.,J Wound Care,2008 Jun
18666717,Bacteriological changes in sloughy venous leg ulcers treated with manuka honey or hydrogel: an RCT.,J Wound Care,2008 Jun
18642392,"Solid emulsion gel as a vehicle for delivery of polyunsaturated fatty acids: implications for tissue repair, dermal angiogenesis and wound healing.",J Tissue Eng Regen Med,2008 Oct
18639926,"Non-cytotoxic, in situ gelable hydrogels composed of N-carboxyethyl chitosan and oxidized dextran.",Biomaterials,2008 Oct
18598077,Biocompatible wound dressings based on chemically degradable triblock copolymer hydrogels.,Biomacromolecules,2008 Aug
18594367,Aquamid: where is the reality?,Plast Reconstr Surg,2008 Jul
21991115,"Skin ph variations from the acute phase to re-epithelialization in burn patients treated with new materials (burnshield®, semipermeable adhesive film, dermasilk®, and hyalomatrix®). Non-invasive preliminary experimental clinical trial.",Ann Burns Fire Disasters,2008 Jun 30
18554291,Surgery guided by confocal laser scanning microscopy for foreign filler granulomas.,Dermatol Surg,2008 Sep
18544016,Fibrin: a versatile scaffold for tissue engineering applications.,Tissue Eng Part B Rev,2008 Jun
18464065,Bisphosphonate-containing supramolecular hydrogels for topical decorporation of uranium-contaminated wounds in mice.,Int J Radiat Biol,2008 May
18442185,A systematic review of the effectiveness of interventions to enhance the healing of chronic ulcers of the foot in diabetes.,Diabetes Metab Res Rev,2008 May-Jun
18384601,Perioral granulomatous reaction to Dermalive.,Dermatol Surg,2008 Jul
18378399,Anti-inflammatory properties of a liposomal hydrogel with povidone-iodine (Repithel) for wound healing in vitro.,Burns,2008 Sep
18374944,Nitric oxide donor improves healing if applied on inflammatory and proliferative phase.,J Surg Res,2008 Sep
18241915,Attenuation of protease activity in chronic wound fluid with bisphosphonate-functionalised hydrogels.,Biomaterials,2008 Apr
18222318,Treating the chronic wound: A practical approach to the care of nonhealing wounds and wound care dressings.,J Am Acad Dermatol,2008 Feb
18211584,Controlled delivery of bFGF to recipient bed enhances the vascularization and viability of an ischemic skin flap.,Wound Repair Regen,2008 Jan-Feb
18211407,"Delayed immune-mediated adverse effects related to hyaluronic acid and acrylic hydrogel dermal fillers: clinical findings, long-term follow-up and review of the literature.",J Eur Acad Dermatol Venereol,2008 Feb
18201219,Efficacy and cosmetic results of contact gel cooling of the skin during non-ablative laser procedures.,J Dtsch Dermatol Ges,2008 Aug
18162494,Comparison of negative pressure wound therapy using vacuum-assisted closure with advanced moist wound therapy in the treatment of diabetic foot ulcers: a multicenter randomized controlled trial.,Diabetes Care,2008 Apr
18047073,Preparation and properties of collagen/modified hyaluronic acid hydrogel for biomedical application.,J Nanosci Nanotechnol,2007 Nov
18032897,Dew point effect of cooled hydrogel pads on human stratum corneum biosurface.,Dermatology,2008
18028772,Randomized controlled trial of the absorbency of four dressings and their effects on the evaporation of burn wounds.,Chin Med J (Engl),2007 Oct 20
18026014,A focus on ActiFormCool in the reduction of pain in wounds.,Br J Community Nurs,2007 Sep
17986971,Hydrogel dressings in the treatment of wounds with skin defect complications.,Ortop Traumatol Rehabil,2001 Jan-Mar
17963217,Wound healing dressings and drug delivery systems: a review.,J Pharm Sci,2008 Aug
17958852,Eradication of methicillin-resistant Staphylococcus aureus in a chronic wound by a new polyhexanide hydrogel.,J Eur Acad Dermatol Venereol,2007 Nov
17938343,Consensus panel recommendations for chronic and acute wound dressings.,Arch Dermatol,2007 Oct
17869678,Ultrathin hydrocolloid dressing in skin damaged from alternating radiotherapy and chemotherapy plus cetuximab in advanced head and neck cancer (G.O.N.O. AlteRCC Italian Trial): in regard to Macmillan et al. (Int J Radiat Oncol Biol Phys 2007;68:864-872).,Int J Radiat Oncol Biol Phys,2007 Oct 1
17618478,Crosslinked hyaluronan with a protein-like polymer: novel bioresorbable films for biomedical applications.,J Biomed Mater Res A,2008 Feb
17538258,So what if you are blue? Oral colloidal silver and argyria are out: safe dressings are in.,Adv Skin Wound Care,2007 Jun
17530632,Tissue response in the rat and the mouse to degradable dextran hydrogels.,J Biomed Mater Res A,2007 Nov
17522962,Biomedical evaluation of polyvinyl alcohol-gelatin esterified hydrogel for wound dressing.,J Mater Sci Mater Med,2007 Sep
17487127,Evaluation of dermal irritancy potential of Carboxymethyl-chitosan hydrogel and poly-(acrylic acid) chitin hydrogel.,J Med Assoc Thai,2007 Apr
17482258,The use of physical hydrogels of chitosan for skin regeneration following third-degree burns.,Biomaterials,2007 Aug
17475411,The effect of chitosan hydrogel containing DMEM/F12 medium on full-thickness skin defects after deep dermal burn.,Burns,2007 Aug
17455216,Biocompatibility evaluation of crosslinked chitosan hydrogels after subcutaneous and intraperitoneal implantation in the rat.,J Biomed Mater Res A,2007 Nov
17415028,The use of a novel oxygenating hydrogel dressing in the treatment of different chronic wounds.,Adv Skin Wound Care,2007 Apr
17406344,Thermosensitive hydrogel PEG-PLGA-PEG enhances engraftment of muscle-derived stem cells and promotes healing in diabetic wound.,Mol Ther,2007 Jun
17395988,Evaluating the use of hydrogel sheet dressings in comprehensive burn wound care.,Ostomy Wound Manage,2007 Mar
17385591,Clinical performance of a hydrogel dressing in chronic wounds: a prospective observational study.,J Wound Care,2007 Mar
17370081,Semisolid formulations containing dimethyl sulfoxide and alpha-tocopherol for the treatment of extravasation of antiblastic agents.,Arch Dermatol Res,2007 Jul
17363185,Randomized comparison of dry dressings versus hydrogel in management of radiation-induced moist desquamation.,Int J Radiat Oncol Biol Phys,2007 Jul 1
17352757,Release of basic fibroblast growth factor from a crosslinked glycosaminoglycan hydrogel promotes wound healing.,Wound Repair Regen,2007 Mar-Apr
17308650,D-glucosamine-based supramolecular hydrogels to improve wound healing.,Chem Commun (Camb),2007 Feb 28
17240459,"Tissue engineered cartilage ""bioshell"" protective layer for subcutaneous implants.",Int J Pediatr Otorhinolaryngol,2007 Apr
17236219,Vascular endothelial growth factor and dexamethasone release from nonfouling sensor coatings affect the foreign body response.,J Biomed Mater Res A,2007 Jun 15
17223784,"Immobilizing Cu,Zn-superoxide dismutase in hydrogels of carboxymethylcellulose improves its stability and wound healing properties.",Biochemistry (Mosc),2006 Dec
17199768,Inflammatory inert poly(ethylene glycol)--protein wound dressing improves healing responses in partial- and full-thickness wounds.,Int Wound J,2006 Dec
17106898,An active wound dressing for controlled convective mass transfer with the wound bed.,J Biomed Mater Res B Appl Biomater,2007 Jul
17070552,Stimulation of steroid-suppressed cutaneous healing by repeated topical application of IGF-I: different mechanisms of action based upon the mode of IGF-I delivery.,J Surg Res,2007 May 15
17022681,Microengineered surface topography facilitates cell grafting from a prototype hydrogel wound dressing with antibacterial capability.,Biotechnol Prog,2006 Sep-Oct
17004191,[Efficacy of treatment with Repithel and Jelonet in comparison to treatment with Jelonet alone - a randomized clinical trial in patients receiving meshed skin grafts].,Zentralbl Chir,2006 Aug
16936539,An overview of permanent and semipermanent fillers.,Plast Reconstr Surg,2006 Sep
16913237,A protocol for the use of amorphous hydrogel to support wound healing in neonatal patients: an adjunct to nursing skin care.,Neonatal Netw,2006 Jul-Aug
16902876,Prediction of and risk factors for surgical wound infection in the saphenous vein harvesting leg in patients undergoing coronary artery bypass.,Thorac Cardiovasc Surg,2006 Aug
16869198,An in vitro study of antimicrobial activity and efficacy of iodine-generating hydrogel dressings.,J Wound Care,2006 Jul
16837138,PVP-iodine in hydrosomes and hydrogel--a novel concept in wound therapy leads to enhanced epithelialization and reduced loss of skin grafts.,Burns,2006 Sep
16835565,Use of a hydrogel dressing for management of a painful leg ulcer.,Br J Community Nurs,2006 Jun
16768278,[Local wound care: evidence-based treatments and dressings].,Ned Tijdschr Geneeskd,2006 May 27
16638409,Management of skin ulcers in a patient with mycosis fungoides.,Dermatol Online J,2006 Feb 28
16625084,Facial granulomas secondary to Dermalive microimplants: Report of a case with histopathologic differential diagnosis among the granulomas secondary to different injectable permanent filler materials.,Am J Dermatopathol,2006 Apr
16621321,A polyurethane dressing is beneficial for split-thickness skin-graft donor wound healing.,Burns,2006 Jun
16579693,Fibronectin functional domains coupled to hyaluronan stimulate adult human dermal fibroblast responses critical for wound healing.,Tissue Eng,2006 Mar
16546828,Synthesis and evaluation of long-acting D-penicillamine derivatives.,Connect Tissue Res,2005
16545711,Foreign body reaction due to skin filler: a case report.,Oral Surg Oral Med Oral Pathol Oral Radiol Endod,2006 Apr
16544309,Medium (DMEM/F12)-containing chitosan hydrogel as adhesive and dressing in autologous skin grafts and accelerator in the healing process.,J Biomed Mater Res B Appl Biomater,2006 Oct
16494288,Hydrogels.,Nurs Times,2006 Feb 7-13
16490991,Effect of polyvinylpyrrolidone-iodine liposomal hydrogel on wound microcirculation in SKH1-hr hairless mice.,Eur Surg Res,2006
16490979,Repithel: removing the barriers to wound healing.,Dermatology,2006
16464989,A discussion of silver as an antimicrobial agent: alleviating the confusion.,Ostomy Wound Manage,2006 Jan
16441618,A novel method of comparing the healing properties of two hydrogels in chronic leg ulcers.,J Eur Acad Dermatol Venereol,2006 Feb
16418161,Cutaneous burns treated with hydrogel (Burnshield) and a semipermeable adhesive film.,Arch Surg,2006 Jan
16411486,Understanding the principles of wound management.,J Wound Care,2006 Jan
16401014,[Cost effectiveness of treating skin grafts with a special hydrogel formulation].,MMW Fortschr Med,2005 Dec 8
16380216,Evaluation of a bi-layer wound dressing for burn care I. Cooling and wound healing properties.,Burns,2006 Feb
16234576,Preliminary use of a hydrogel containing enzymes in the treatment of stage II and stage III pressure ulcers.,Ostomy Wound Manage,2005 Aug
16146648,Evaluation of the effect of incorporation of dibutyryl cyclic adenosine monophosphate in an in situ-forming hydrogel wound dressing based on oxidized alginate and gelatin.,Biomaterials,2006 Mar
16141823,Effect of viscous injectable pure alginate sol on cultured fibroblasts.,Plast Reconstr Surg,2005 Sep
16128295,Effects of bFGF incorporated into a gelatin sheet on wound healing.,J Biomater Sci Polym Ed,2005
16081240,Hydrophilic polymers--biocompatibility testing in vitro.,Toxicol In Vitro,2005 Oct
16035423,"So, what do I put on this wound? Making sense of the wound dressing puzzle: part II.",Dermatol Nurs,2005 Jun
16020410,Prevention of and therapies for nipple pain: a systematic review.,J Obstet Gynecol Neonatal Nurs,2005 Jul-Aug
16008728,Acceleration of wound healing in healing-impaired db/db mice with a photocrosslinkable chitosan hydrogel containing fibroblast growth factor-2.,Wound Repair Regen,2005 Jul-Aug
15977772,A small study in healing rates and symptom control using a new sheet hydrogel dressing.,J Wound Care,2004 Jul
15962270,Radiation synthesis of poly(N-vinyl-2-pyrrolidone)-kappa-carrageenan hydrogels and their use in wound dressing applications. I. Preliminary laboratory tests.,J Biomed Mater Res A,2005 Aug 1
15953047,Experimental ischemic wounds: correlation of cell proliferation and insulin-like growth factor I expression and its modification by different local IGF-I release systems.,Wound Repair Regen,2005 May-Jun
15919113,Evaluation of an in situ forming hydrogel wound dressing based on oxidized alginate and gelatin.,Biomaterials,2005 Nov
