PMID,Title,Source,PubDate
33371671,"Injectable Self-Healing Hydrogels Containing CuS Nanoparticles with Abilities of Hemostasis, Antibacterial activity, and Promoting Wound Healing.",ACS Biomater Sci Eng,2021 Jan 11
33359808,Cellulose nanocrystal mediated fast self-healing and shape memory conductive hydrogel for wearable strain sensors.,Int J Biol Macromol,2021 Feb 15
33357870,Biochemical characterization of Nostoc sp. exopolysaccharides and evaluation of potential use in wound healing.,Carbohydr Polym,2021 Feb 15
33353435,Rosuvastatin calcium-based novel nanocubic vesicles capped with silver nanoparticles-loaded hydrogel for wound healing management: optimization employing Box-Behnken design: in vitro and in vivo assessment.,J Liposome Res,2022 Mar
33352826,Chitosan and Cellulose-Based Hydrogels for Wound Management.,Int J Mol Sci,2020 Dec 18
33342210,Biomechanics of Wound Healing in an Equine Limb Model: Effect of Location and Treatment with a Peptide-Modified Collagen-Chitosan Hydrogel.,ACS Biomater Sci Eng,2021 Jan 11
35019606,A Tough Polysaccharide-Based Hydrogel with an On-Demand Dissolution Feature for Chronic Wound Care through Light-Induced Ultrafast Degradation.,ACS Appl Bio Mater,2020 Dec 21
33339100,Enzyme-Crosslinked Gelatin Hydrogel with Adipose-Derived Stem Cell Spheroid Facilitating Wound Repair in the Murine Burn Model.,Polymers (Basel),2020 Dec 16
33336572,Injectable Adhesive Self-Healing Multicross-Linked Double-Network Hydrogel Facilitates Full-Thickness Skin Wound Healing.,ACS Appl Mater Interfaces,2020 Dec 30
33331294,An in vitro 3D diabetic human skin model from diabetic primary cells.,Biomed Mater,2020 Dec 17
33327710,[Research advances on the characteristics and wound healing promoting effect of in-situ forming injectable hydrogels].,Zhonghua Shao Shang Za Zhi,2021 Jan 20
33327053,Improving Chronic Diabetic Wound Healing through an Injectable and Self-Healing Hydrogel with Platelet-Rich Plasma Release.,ACS Appl Mater Interfaces,2020 Dec 16
33325682,Quaternary Lipophilic Chitosan and Gelatin Cross-Linked Antibacterial Hydrogel Effectively Kills Multidrug-Resistant Bacteria with Minimal Toxicity toward Mammalian Cells.,Biomacromolecules,2021 Feb 8
33320753,Skin surface infrared thermography in pressure ulcer outcome prognosis.,J Wound Care,2020 Dec 2
33320625,Multifunctional Dual Ionic-Covalent Membranes for Wound Healing.,ACS Biomater Sci Eng,2020 Dec 14
33320529,Cerium Oxide Nanoparticle-Loaded Gelatin Methacryloyl Hydrogel Wound-Healing Patch with Free Radical Scavenging Activity.,ACS Biomater Sci Eng,2021 Jan 11
33317120,"New Insights for Red Propolis of Alagoas-Chemical Constituents, Topical Membrane Formulations and Their Physicochemical and Biological Properties.",Molecules,2020 Dec 9
33296595,Thermoresponsive Hemostatic Hydrogel with a Biomimetic Nanostructure Constructed from Aggregated Collagen Nanofibers.,Biomacromolecules,2021 Feb 8
33289564,Dual Functionalized Injectable Hybrid Extracellular Matrix Hydrogel for Burn Wounds.,Biomacromolecules,2021 Feb 8
33287433,One Step e-Beam Radiation Cross-Linking of Quaternary Hydrogels Dressings Based on Chitosan-Poly(Vinyl-Pyrrolidone)-Poly(Ethylene Glycol)-Poly(Acrylic Acid).,Int J Mol Sci,2020 Dec 3
33274927,Injectable Hypoxia-Induced Conductive Hydrogel to Promote Diabetic Wound Healing.,ACS Appl Mater Interfaces,2020 Dec 23
33267761,The Development of Hyaluronic Acids Used for Skin Tissue Regeneration.,Curr Drug Deliv,2021
33262630,Honey Combination Therapies for Skin and Wound Infections: A Systematic Review of the Literature.,Clin Cosmet Investig Dermatol,2020
33255094,Fabrication of cellulose carbamate hydrogel-dressing with rarasaponin surfactant for enhancing adsorption of silver nanoparticles and antibacterial activity.,Mater Sci Eng C Mater Biol Appl,2021 Jan
33255083,Low-intensity near-infrared light-triggered spatiotemporal antibiotics release and hyperthermia by natural polysaccharide-based hybrid hydrogel for synergistic wound disinfection.,Mater Sci Eng C Mater Biol Appl,2021 Jan
33254992,Novel silver and nanoparticle-encapsulated growth factor co-loaded chitosan composite hydrogel with sustained antimicrobility and promoted biological properties for diabetic wound healing.,Mater Sci Eng C Mater Biol Appl,2021 Jan
33253453,Human decellularized adipose matrix derived hydrogel assists mesenchymal stem cells delivery and accelerates chronic wound healing.,J Biomed Mater Res A,2021 Aug
33238684,[Influence of the stiffness of three-dimensionally bioprinted extracellular matrix analogue on the differentiation of bone mesenchymal stem cells into skin appendage cells].,Zhonghua Shao Shang Za Zhi,2020 Nov 20
33233475,A Self-Healing Hierarchical Fiber Hydrogel That Mimics ECM Structure.,Materials (Basel),2020 Nov 21
33216525,Self-Assembling Peptide EAK16 and RADA16 Nanofiber Scaffold Hydrogel.,Chem Rev,2020 Dec 23
33206785,Topical hydrogel containing Achyrocline satureioides oily extract (free and nanocapsule) has anti-inflammatory effects and thereby minimizes irritant contact dermatitis.,An Acad Bras Cienc,2020
